"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"dsp_total_cost","5_228_6","revenue","dsp_total_cost",2023-07-01,2024-07-01,"13 months",0.7,11085.0254854618,1.5,23753.6260402752,3,0.0999999999999999,1583.57506935168,2.5,39589.3767337921,205864.759015719,503848.979015719,15835.7506935168,38757.6137704399,0.408584253594957,205864.759015719,503848.979015719,15835.7506935168,38757.6137704399,0.408584253594957,15835.7506935168,38757.6137704399,0.408584253594957,503848.979015719,2398.46935092575,6000.78902612861,0.0560369634363269,78010.2573396719,0.399692330538925,0.151459150711919,6.60244029693547,38757.6137704399,0,19464.3950012093,0.22914255079666,38757.61377044,3.10862446895044e-15,0.502208291679054,503848.97901572,21693.3939377438,0.369899940810834,38757.6137704373,-6.81676937119846e-14,0.559719544816009,503848.979015685,2590.41481826682,0.0499563081070846,6278.23598150048,81617.0677595062,0.412602333824304,0.133084784711052,7.51400697060265,0.080028317754814,2698.13751558573,0.046757940912812,6379.33733859155,82931.3854016902,0.422949496535237,0.124375997749772,8.04013650617598,0.124941419219854,0.0462350791143982,0.0630830897094816
"sb_total_cost","5_228_6","revenue","sb_total_cost",2023-07-01,2024-07-01,"13 months",0.7,3829.56646153846,1.5,8206.21384615385,3,0.0999999999999999,547.080923076923,2.5,13677.0230769231,71120.5200000001,503848.979015719,5470.80923076924,38757.6137704399,0.141154439052225,71120.5200000001,503848.979015719,5470.80923076924,38757.6137704399,0.141154439052225,5470.80923076924,38757.6137704399,0.141154439052225,503848.979015719,1938.31864605355,6000.78902612861,0.0980580166778964,78010.2573396719,0.323010630371061,0.354301998898435,2.82245091224185,38757.6137704399,0,8206.21384615385,0.5,38757.61377044,3.10862446895044e-15,0.211731658578337,503848.97901572,12591.9841472255,1.30166756252529,38757.6137704373,-6.81676937119846e-14,0.324890593672982,503848.979015685,2167.22541250479,0.0713988704242183,6278.23598150048,81617.0677595062,0.345196551848443,0.264095653992802,3.78650683902302,0.118095529296639,2420.66299614778,0.0467570343462285,6379.33733859155,82931.3854016902,0.379453674836112,0.192238408803997,5.20187410113025,0.248846778147802,0.0462350791143982,0.0630830897094816
"sd_total_cost","5_228_6","revenue","sd_total_cost",2023-07-01,2024-07-01,"13 months",0.7,1128.73276923077,1.5,2418.71307692308,3,0.0999999999999999,161.247538461538,2.5,4031.18846153846,20962.18,503848.979015719,1612.47538461538,38757.6137704399,0.0416040934348029,20962.18,503848.979015719,1612.47538461538,38757.6137704399,0.0416040934348029,1612.47538461538,38757.6137704399,0.0416040934348029,503848.979015719,0,6000.78902612861,0,78010.2573396719,0,0,Inf,38757.6137704399,0,0,-1,38757.61377044,3.10862446895044e-15,0,503848.97901572,0,-1,38757.6137704373,-6.81676937119846e-14,0,503848.979015685,0,0,6278.23598150048,81617.0677595062,0,NA,NA,NA,0,0,6379.33733859155,82931.3854016902,0,NA,NA,NA,0.0462350791143982,0.0630830897094816
"sp_total_cost","5_228_6","revenue","sp_total_cost",2023-07-01,2024-07-01,"13 months",0.7,11087.0049230769,1.5,23757.8676923077,3,0.0999999999999999,1583.85784615384,2.5,39596.4461538462,205901.52,503848.979015719,15838.5784615385,38757.6137704399,0.408657213918015,205901.52,503848.979015719,15838.5784615385,38757.6137704399,0.408657213918015,15838.5784615385,38757.6137704399,0.408657213918015,503848.979015719,1664.00102914931,6000.78902612861,0.0274086599529255,78010.2573396719,0.277297039090014,0.105059998483455,9.51837059237615,38757.6137704399,0,11087.0049230769,-0.3,38757.61377044,3.10862446895044e-15,0.28606004974261,503848.97901572,4472.23568546793,-0.717636548233917,38757.6137704373,-6.81676937119846e-14,0.115389861511009,503848.979015685,1520.59575072888,0.0332988280108566,6278.23598150048,81617.0677595062,0.242201114327254,0.137151174846495,7.29122445446959,-0.0861810034418975,1260.53682685803,0.0467575497953021,6379.33733859155,82931.3854016902,0.197596828628652,0.281858317743409,3.54788181525426,-0.242466317762761,0.0462350791143982,0.0630830897094816
